otu	Domain	Phylum	Class	Order	Family	Genus	Species
d2c761ccdfce94d4f72ca6057b3237e0	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
d2f6e05e8b2e8482c73ec186808b0bcd	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomellus	Xerocomellus chrysenteron
540c4d3ea6dd176c6d8b9bf3571a1e2b							
8d538a051f32c24b64549072c208bad9	Fungi	Ascomycota	Leotiomycetes				
bb0cef995d61c8348bb6ef32fbb75c8d	Fungi	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	Helvella ulvinenii
c26b06c4fb3bcfc964596d9749f2f6b7	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
f33476c26473ed5cbddcf026d29b52fb	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Helvellosebacina	
e79d051afe130bd36b6af8a736ea51f3	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Pseudotomentella	
4b6ac24e3d6445bc69ff28dd2efeb2dc	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum pygmaeum
34065e7ca790bbd5adf80134e657d060	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
d9e30e404db9ec9fe681fc52ec1058d5	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	
c8bae6de4d98000e06fd7431d3e3a456	Fungi	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	
200e099a38f0caa0366f04e7ccd5e678	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
89a6cf9e16939c8487265649c1da4cc7	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	Nectria ramulariae
82780436adb026d0faf0ab5680b15b13	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	
bd445c4f62d5e44ce0877439d8fa7344	Fungi	Ascomycota					
265c3b435e9171e77a3f84a96c48cd0a	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma crustuliniforme
45fdd82e6b1bc6e50683ae4606377015	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber brennemanii
a9aa5e123f4f9423ee561e274f514b42	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
a88a3f872fd09a9c7ad3c9960d42710b	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	Geopora tolucana
2960890185e9adecc4f8f3bd1dc7c4bc	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma scalpturatum
dc755fe2b78fda2a4fdc4c00445673d4	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	
85f82108ba2e6eb2a4cf3809bf803264	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita griseopantherina
d931e5d1f3e62b9228f1fcbfea3c281f	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycenella	Mycenella trachyspora
434a09bdd64dab47be3ee3c09f111f3e	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae		
b0fe0e6c94f29d89bd42211f328cb58e	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales fam Incertae sedis	Leohumicola	
0ce8dcb0cfa30840acb6492e1df6395b	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genabea	Genabea fragilis
b3ff487a4809e0f1dc32daeb2cbcf3f7	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	
