"","otu","Domain","Phylum","Class","Order","Family","Genus","Species","TaxClass","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df","Sig"
"3595","f5fb85ef80dbdc5509b5fd603cfe5d23","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis",NA,"Ramariopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3596","fd64272380a204ef1171ab69f88d67c3","Fungi","Ascomycota","Eurotiomycetes",NA,NA,NA,NA,"Eurotiomycetes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3597","fe0a97f8bd1b1a07a2c1078ca5a62350","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius torvus","Cortinarius torvus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3598","ff1a2a27503c5fb04c87046d99d57f60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3599","008b9acde9b892dddeca6b9f49756980","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Cyrtohymena",NA,"Cyrtohymena",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3600","00d2c02e27daf58ac1208f4c617dbe57","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Myriosclerotinia","Myriosclerotinia curreyana","Myriosclerotinia curreyana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3601","02cf93a7534fef4c11375a420ec26e2b","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",NA,"Phaeosphaeria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3602","04e1819d93f29fc3d99a96caa689a606","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida",NA,NA,NA,"Sporadotrichida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3603","05f6ee4d0e3e23ba026a3d067ba88594","Metazoa","Nematoda",NA,NA,NA,NA,NA,"Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3604","0938dd7ae7e9b08b758d0b8ad00a7d95","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA,"Chaetomium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3605","0a3a201aaa7fcc9c50fad831359ebcb7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"Fusarium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3606","0bddd7e45ddacfaa8a0098924146ffae","Fungi","Basidiomycota","Exobasidiomycetes","Tilletiales","Tilletiaceae","Tilletia","Tilletia puccinelliae","Tilletia puccinelliae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3607","0e5063a5065190b110b50d9334cf2c76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3608","0ea9b36b8cb0ff03b526ed301f3925a0","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA,"Orbiliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3609","121df36b99852b3412bab1d947b41bf4","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA,"Orbiliales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3610","13995191269e34cfeb650aaf715a2193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3611","153eb890f6fbf2d067038b1ac3180646","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe involuta","Inocybe involuta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612","15a92ca3e98a7e186993476346452e1d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3613","17eb945d2abec50de3f805be851ca8d0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3614","196c8b70f8a933c845f15bcdaec439f4","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Kondoaceae","Kondoa","Kondoa subrosea","Kondoa subrosea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3615","1bbf2cfedb916ce2638e483f4ef8e174","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3616","1f7a127998b071b63885b9096fa0ad95","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella humicola","Sagenomella humicola",NA,NA,NA,NA,NA,NA,NA,NA,NA
