Predictor	%IncMSE	Response	estimate	std.error	statistic	p.value
pHConc_BaseSatConc	3.6211799456238976	Sordariomycetes	-27.747879494607098	57.60218489613329	-0.4817157464537383	0.6311631654570745
CECConc_CaConc_TOCConc	3.0182823010098927	Sordariomycetes	42.54987781835383	48.193245712735376	0.8829012694430279	0.3805659729041684
KConc	4.046393328828547	Sordariomycetes	-0.17492020740013456	0.35479559570624347	-0.49301685115888944	0.6228216428078945
MgConc	1.3749170790521748	Sordariomycetes	-0.09801647422338322	0.8520575592534566	-0.11503503860614989	0.908691003197684
NaConc	3.6710785934420924	Sordariomycetes	-15.844843389383138	18.474699665552205	-0.8576509321516778	0.392832297549509
NConc	1.1105389885656687	Sordariomycetes	-108.17332615834083	272.6659998627456	-0.3967246602539115	0.6923266902697606
NO3Flux	5.133823659498966	Eurotiomycetes	-0.07697608648064429	0.34826476580123406	-0.22102748839248648	0.8254157766990421
NH4Flux	-0.9482781753755867	Eurotiomycetes	2.6572857148454285	6.567101881942042	0.40463598138355794	0.6864298403544716
CaFlux_MgFlux_SFlux	4.38347768718833	Eurotiomycetes	8.722795957211606	9.02066615703261	0.9669791349512717	0.3353526536471114
KFlux	0.6887413969067356	Eurotiomycetes	0.1296478455003527	0.10220397145752483	1.268520622549715	0.2068446618201208
PFlux	6.271376339928527	Eurotiomycetes	2.6424553764303735	1.2191120972419336	2.1675245306879902	0.03205565692905442
FeFlux	5.72031874282354	Eurotiomycetes	-8.531132877833523	10.747959682546757	-0.7937444063627199	0.4290361023897429
CuFlux	5.7596425600362045	Eurotiomycetes	-378.1521930734964	235.3262918668473	-1.6069270886546883	0.11052617518000628
GrassCover_FeConc	9.601531198380586	Eurotiomycetes	-2.33071791659779	13.438493655863827	-0.17343595021014813	0.8628226101354932
ShrubCover	1.402722002794301	Eurotiomycetes	-1.052941457954338	1.416479927526882	-0.7433507792748832	0.4603868683024257
ForbCover_PConc	3.381823775063427	Eurotiomycetes	8.739088606578346	16.636910838473895	0.5252831304696697	0.6040247983566984
pHConc_BaseSatConc	2.263530177641805	Eurotiomycetes	-0.3562924305735598	11.603587127306167	-0.030705369526214343	0.9755655033437327
CECConc_CaConc_TOCConc	7.634443615136845	Eurotiomycetes	13.795711466904434	9.82639108995398	1.403944880741465	0.1641622169140132
KConc	6.486095494695468	Eurotiomycetes	0.0915867731355797	0.070179241045159	1.3050408036850292	0.19414938748117408
MgConc	3.177798979952294	Eurotiomycetes	0.1279188996216948	0.17107210558630626	0.7477484373228775	0.4564945620446691
