Plot	HA2	HA3	HA4	HA5	HB1	HB2	HB3	HB4	HB5	HC1	HC2	HC3	HC4	HC5	MA1	MA2	MA3	MA4	MA5	MB1	MB2	MB3	MB4	MB5	MC1	MC2	MC3	MC4	MC5	RA1	RA2	RA3	RA4	RA5	RB1	RB2	RB3	RB4	RB5	RC1	RC2	RC3	RC4	RC5	HA1
MB1	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	0	30	45	60	90	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	1768.8424919398183
MB2	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	30	0	15	30	60	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	1768.8424919398183
MB3	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	45	15	0	15	45	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	1768.8424919398183
MB4	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	60	30	15	0	30	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	1768.8424919398183
MB5	1768.8424919398183	1768.8424919398183	1768.8424919398183	1768.8424919398183	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	1419.5314172176818	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	2699.7336051131947	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	1576.6510247094127	90	60	45	30	0	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	2831.944221547373	1768.8424919398183
MC1	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	0	30	45	60	90	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	3566.1619156629986
MC2	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	30	0	15	30	60	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	3566.1619156629986
MC3	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	45	15	0	15	45	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	3566.1619156629986
MC4	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	60	30	15	0	30	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	3566.1619156629986
MC5	3566.1619156629986	3566.1619156629986	3566.1619156629986	3566.1619156629986	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	3072.3524966855816	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	977.9958821379274	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	3913.7967911475885	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	2380.9637621481556	90	60	45	30	0	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	479.5350820266355	3566.1619156629986
RA1	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	0	30	45	60	90	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	1661.642853201004
RA2	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	30	0	15	30	60	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	1661.642853201004
RA3	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	45	15	0	15	45	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	1661.642853201004
RA4	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	60	30	15	0	30	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	1661.642853201004
RA5	1661.642853201004	1661.642853201004	1661.642853201004	1661.642853201004	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	2062.202872515319	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	4929.6272591229335	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	1082.5520390947665	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	2634.4543129022404	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	4906.933451381819	90	60	45	30	0	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	5380.868670969306	1661.642853201004
RB1	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	0	30	45	60	90	3528.5753207197154	3528.5753207197154	3528.5753207197154	3528.5753207197154	3528.5753207197154	6714.939300897868
RB2	6714.939300897868	6714.939300897868	6714.939300897868	6714.939300897868	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	6263.573531996457	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	3424.880903464602	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	7477.004531612437	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	6097.360446228921	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	3845.8371226337526	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	8315.38611260612	30	0	15	30	60	3528.5753207197154	3528.5753207197154	3528.5753207197154	3528.5753207197154	3528.5753207197154	6714.939300897868
